Item,Category,Project/Area,Context,Next Action,Waiting For,Someday/Maybe,Priority,Status,Energy Level,Time Required,Due Date,Delegated To,Notes
Create reusable prompt library/template/process documentation,Professional,AI Integration - Weekly,@Computer,Document one successful prompt or workflow this week,,,Medium,Recurring - Weekly,Medium,1 hour,,"Weekly task"
Run quick AI clinic sessions with project teams,Professional,AI Integration - Weekly,@Office,Schedule 15-30 min coaching sessions with project teams,,,Medium,Recurring - Weekly,Medium,15-30 min,,"Weekly coaching"
Present one AI case study internally,Professional,AI Integration - Monthly,@Office,Identify project for case study and prepare presentation,,,Medium,Recurring - Monthly,High,3 hours,,"Monthly presentation"
Update AI capabilities deck for presales,Professional,AI Integration - Monthly,@Computer,Review and update presales AI capabilities presentation,,,Medium,Recurring - Monthly,Medium,2 hours,,
Identify one new AI tool/approach to pilot,Professional,AI Integration - Monthly,@Computer,Research and select new AI tool for pilot testing,,,Medium,Recurring - Monthly,Medium,2 hours,,
Run workshop: AI for Learning Design for the team,Professional,AI Integration - Quarterly,@Office,Plan and schedule quarterly AI workshop,,,Medium,Recurring - Quarterly,High,4 hours,,"Quarterly workshop"
Measure AI gains: efficiency, quality, time saved,Professional,AI Integration - Quarterly,@Computer,Create measurement framework and collect metrics,,,Medium,Recurring - Quarterly,High,3 hours,,
Roadmap: What's next for AI integration?,Professional,AI Integration - Quarterly,@Thinking,Draft quarterly AI integration roadmap,,,Medium,Recurring - Quarterly,High,2 hours,,
Check-in calls with key account stakeholders,Professional,Strategic Accounts - Weekly,@Phone,Schedule weekly check-ins with World Bank/HPE/Riyadh Air stakeholders,,,High,Recurring - Weekly,Medium,1 hour,,"Weekly stakeholder engagement"
Review project health: delivering and client satisfaction,Professional,Strategic Accounts - Weekly,@Computer,Review project dashboards and client feedback,,,High,Recurring - Weekly,Medium,1 hour,,
Identify one growth opportunity per account,Professional,Strategic Accounts - Weekly,@Thinking,Analyze each account for expansion opportunities,,,Medium,Recurring - Weekly,Medium,1 hour,,
Strategic account review: what's working/at risk,Professional,Strategic Accounts - Monthly,@Office,Conduct monthly strategic review meeting,,,High,Recurring - Monthly,High,2 hours,,
Develop one new service/offering based on client needs,Professional,Strategic Accounts - Monthly,@Thinking,Identify client pain points and design new offering,,,Medium,Recurring - Monthly,High,3 hours,,
Coordinate with presales on upcoming opportunities,Professional,Strategic Accounts - Monthly,@Office,Meet with presales team on pipeline,,,Medium,Recurring - Monthly,Medium,1 hour,,
Full account planning session for each strategic account,Professional,Strategic Accounts - Quarterly,@Office,Schedule and prepare quarterly account planning sessions,,,High,Recurring - Quarterly,High,4 hours,,
Present account growth proposals to leadership,Professional,Strategic Accounts - Quarterly,@Office,Prepare growth proposals presentation,,,High,Recurring - Quarterly,High,3 hours,,
Build relationship maps: who else should we know,Professional,Strategic Accounts - Quarterly,@Thinking,Map stakeholder relationships and identify new contacts,,,Medium,Recurring - Quarterly,Medium,2 hours,,
Dedicate 3-5 hours to rapid prototyping,Professional,Innovation Lab - Weekly,@Computer,Block prototyping time in calendar,,,High,Recurring - Weekly,High,3-5 hours,,"Weekly prototyping"
Work on 1-2 active sandbox projects,Professional,Innovation Lab - Weekly,@Computer,Review and advance sandbox projects,,,Medium,Recurring - Weekly,High,2 hours,,
Document what worked/didn't work in prototypes,Professional,Innovation Lab - Weekly,@Computer,Update prototyping learnings log,,,Medium,Recurring - Weekly,Low,30 min,,
24-48 hour rapid prototype for presales opportunities,Professional,Innovation Lab - Per Opportunity,@Computer,Be ready for rapid prototyping requests,,,High,As Needed,High,24-48 hours,,"Per opportunity"
Create interactive demo of potential solution,Professional,Innovation Lab - Per Opportunity,@Computer,Build demo for presales proposals,,,High,As Needed,High,4-8 hours,,
Showcase one innovation to broader team,Professional,Innovation Lab - Monthly,@Office,Prepare monthly innovation showcase,,,Medium,Recurring - Monthly,Medium,2 hours,,
Build library of reusable prototypes/templates,Professional,Innovation Lab - Monthly,@Computer,Organize and document reusable assets,,,Medium,Recurring - Monthly,Medium,2 hours,,
Join presales calls to understand client problem deeply,Professional,Presales-Delivery Bridge,@Phone,Attend presales calls as scheduled,,,High,As Needed,Medium,1-2 hours,,"Per proposal"
Co-create solution approach with presales,Professional,Presales-Delivery Bridge,@Office,Collaborate on solution design,,,High,As Needed,High,2-3 hours,,
Design the 'wow factor' that differentiates proposal,Professional,Presales-Delivery Bridge,@Thinking,Identify unique value propositions,,,High,As Needed,High,2 hours,,
Brief delivery team on vision and commitments,Professional,Presales-Delivery Bridge - Handoff,@Office,Conduct handoff briefings,,,High,As Needed,Medium,1 hour,,"During handoff"
Stay involved in first 2-3 client meetings,Professional,Presales-Delivery Bridge - Handoff,@Office,Attend initial client meetings post-handoff,,,High,As Needed,Medium,1-2 hours,,
Create 'innovation brief' capturing creative intent,Professional,Presales-Delivery Bridge - Handoff,@Computer,Document creative vision for delivery team,,,Medium,As Needed,Medium,1 hour,,
Retrospective: proposals won/lost and why,Professional,Presales-Delivery Bridge - Monthly,@Office,Schedule monthly proposal retrospective,,,Medium,Recurring - Monthly,High,2 hours,,
Feedback loop: presales promises vs delivery challenges,Professional,Presales-Delivery Bridge - Monthly,@Office,Gather and analyze feedback from delivery teams,,,Medium,Recurring - Monthly,Medium,1 hour,,
Refine solution frameworks based on lessons learned,Professional,Presales-Delivery Bridge - Monthly,@Computer,Update solution frameworks documentation,,,Medium,Recurring - Monthly,Medium,2 hours,,
Establish work-hour boundaries with Boss,Professional,Commitments - Boss,@Office,Have conversation about flexible but limited hours due to daughter,,,High,Next Action,Medium,30 min,,"Avoid burnout while maintaining flexibility"
Be a good integrator across teams,Professional,Commitments - Colleagues,@Office,Focus on cross-team collaboration and workflow,,,Medium,Ongoing,Medium,Ongoing,,"Design, programming, ID, testing, other depts"
Set up 6-month completion meeting with Janki,Professional,Commitments - Subordinates,@Office,Schedule meeting with Janki,,,High,Next Action,Low,15 min,,"6-month review meeting"
Address Janki's quality and speed issues,Professional,Commitments - Subordinates,@Office,Prepare feedback conversation - quality and efficiency,,,High,Next Action,High,1 hour,,"Negatives: quality and speed. Positives: communication, ownership, attitude"
Staff development: skills, brain, attitude growth,Professional,Staff Development,@Thinking,Create development framework beyond just promotions,,,Medium,Project,High,3 hours,,
Learn how to manage people better,Professional,Staff Development,@Reading,Review notes from Andrew Grove and Matt Mochary books,,,Medium,Project,Medium,2 hours,,"Reviews, communication, compensation, feedback, morale"
Define sales role boundaries,Professional,Role Clarity,@Thinking,Document: solutions, innovation, prototyping, relationships - NOT replacing sales/KAMs,,,Medium,Next Action,Medium,1 hour,,
Set up meetings with all managers when back,Professional,Post-Holiday Meetings,@Office,Schedule meetings to take stock on projects, status, timelines, decisions,,,High,Next Action,Low,1 hour,,"First thing when back"
Clear all communications,Professional,Communications,@Computer,Check phone, voicemail, email, text, letters, social media,,,Medium,Recurring - Daily,Low,30 min,,"Regular clearing"
Write about who I want to be at Upside,Professional,Writing/Reflection,@Thinking,Schedule deep thinking time about professional identity at Upside,,,Medium,Project,High,2 hours,,
Broken iMac - decide fate,Professional,Systems - Computer,@Home,Decide: sell and get new iMac, fix screen, or throw away,,,Low,Next Action,Low,30 min,,
Make software list,Professional,Systems - Software,@Computer,Document all software currently in use,,,Low,Next Action,Low,1 hour,,
Figure out AI and design subscriptions needed,Professional,Systems - Software,@Computer,List required AI and design tool subscriptions,,,Medium,Next Action,Medium,1 hour,,
Decide personal vs company credit card for subscriptions,Professional,Systems - Software,@Thinking,Categorize subscriptions by personal vs company expense,,,Low,Next Action,Low,30 min,,
Set up office space in veranda,Personal,Office Setup,@Home,Plan veranda office layout,,,High,Project,Medium,2 hours,,"Need proper setup, chair, furniture, security"
Get good chair and furniture for office,Personal,Office Setup,@Errands,Research and purchase ergonomic chair and furniture,,,High,Next Action,Low,2 hours,,
Address security concerns for veranda office,Personal,Office Setup,@Home,Assess security options for veranda opening to garden/society,,,Medium,Next Action,Medium,1 hour,,
Start networking meetings with professionals,Professional,Networking - Future Business,@Anywhere,Identify 3-5 professionals to reach out to,,,High,Project,Medium,1 hour,,"Questions: how to get clients, build business"
Set up Calendly,Professional,Networking - Future Business,@Computer,Create Calendly account and configure availability,,,Medium,Next Action,Low,30 min,,
Reach out to people in industry,Professional,Networking - Future Business,@Computer,Draft outreach messages for networking,,,Medium,Next Action,Medium,1 hour,,
Reconnect with people for perspectives,Professional,Networking - Future Business,@Phone,Make list of people to reconnect with,,,Medium,Next Action,Low,30 min,,
Research training and seminars to learn,Professional,Professional Development,@Computer,Find relevant L&D industry training opportunities,,,Medium,Someday/Maybe,Low,1 hour,,
Track what companies are doing in industry,Professional,Industry Tracking,@Computer,Set up tracking system for CLO, DevLearn, Learning Technologies, Learning Excellence,,,Medium,Project,Low,2 hours,,"Brandon Hall Group trends, Training Industry"
Consider leadership education,Professional,Leadership,@Thinking,Research leadership education and learning programs,,,Low,Someday/Maybe,Medium,1 hour,,
Understand how to make organizational culture better,Professional,Organizational Culture,@Thinking,Research organizational culture improvement strategies,,,Medium,Project,High,2 hours,,"Leave on a high, not a low"
Explore marketing/PR involvement,Professional,Marketing/Promotion,@Thinking,Define best way to contribute without being stretched thin,,,Low,Someday/Maybe,Medium,1 hour,,"Already stretched - need clarity"
Complete business plan in first 3 months,Personal,Business Planning,@Computer,Block time for business plan development,,,Critical,Project,High,20+ hours,Q1 2026,"Start business after quitting job"
Fill in all roles in business plan,Personal,Business Planning,@Computer,Identify and document all business roles needed,,,High,Next Action,High,4 hours,,
Marketing plans for new business,Personal,Business Planning,@Computer,Develop marketing strategy section of business plan,,,High,Project,High,4 hours,,
Financial plans for new business,Personal,Business Planning,@Computer,Create financial projections and plan,,,High,Project,High,4 hours,,
Complete personal website,Personal,Personal Projects,@Computer,Review current state and create completion plan,,,Medium,Project,Medium,10 hours,,"Started but not completed"
Think about personal marketing,Personal,Personal Projects,@Thinking,Define personal marketing approach,,,Medium,Someday/Maybe,Medium,2 hours,,
Create portfolio about who I am,Personal,Personal Projects,@Computer,Design and build personal portfolio,,,Medium,Project,High,10 hours,,
Clarify professional identity to build,Personal,Professional Identity,@Thinking,Define: talks, written thought leadership, social media, or other path?,,,High,Project,High,3 hours,,"Zero clarity currently - need coaching"
Get clarity and coaching on professional identity,Personal,Professional Identity,@Anywhere,Research professional coaching options,,,High,Next Action,Medium,2 hours,,"Professional equivalent of therapy"
Revisit 'Measure What Matters' book,Personal,Goals/Planning,@Reading,Reread OKR sections and apply to this year,,,Medium,Next Action,Low,3 hours,,
Set goals for this year,Personal,Goals/Planning,@Thinking,Create realistic goals considering daughter's schedule,,,High,Next Action,High,2 hours,,"Goals that don't break me"
Research Dubai trip cost,Personal,Dubai Trip,@Computer,Get quotes for Dubai trip in March,,,Medium,Next Action,Low,1 hour,,
Determine if March Dubai trip is possible,Personal,Dubai Trip,@Thinking,Assess feasibility with 9-month-old daughter,,,Medium,Next Action,Low,30 min,,
Get contractor quote on renovations,Personal,Home Renovations,@Home,Follow up with contractor on garden, kitchen, bathroom quotes,Contractor - renovation quotes,,High,Waiting For,Low,,,
Research renovation details needed,Personal,Home Renovations,@Computer,List specifications for redevelopments,,,Medium,Next Action,Medium,2 hours,,
Get society permission for remodeling,Personal,Home Renovations,@Errands,Inform society about planned renovations,,,Medium,Next Action,Low,30 min,,
Find good comfortable office chair,Personal,Office Setup,@Errands,Research ergonomic chair options,,,High,Next Action,Low,1 hour,,
Consider recliner for study table area,Personal,Office Setup,@Errands,Research recliner options,,,Low,Someday/Maybe,Low,30 min,,
How to reduce 6 kilos,Personal,Health - Weight,@Thinking,Research sustainable weight loss approach,,,Medium,Project,Medium,1 hour,,
Start tracking expenses,Personal,Finance - Tracking,@Computer,Set up expense tracking system,,,High,Next Action,Low,1 hour,,"A lot of expenses currently"
Reduce screen time on mobile phone,Personal,Mindfulness,@Anywhere,Set screen time limits on phone,,,High,Next Action,Low,15 min,,
Increase time with pocket journals,Personal,Mindfulness,@Anywhere,Establish daily journaling habit,,,Medium,Project,Low,Ongoing,,
Increase mindfulness and reduce compulsions,Personal,Mindfulness,@Anywhere,Start daily mindfulness practice,,,Medium,Project,Medium,15 min daily,,
Start behaving like an athlete,Personal,Health - Lifestyle,@Anywhere,Define athlete mindset and habits to adopt,,,Medium,Project,Medium,Ongoing,,
Get proper sleep,Personal,Health - Sleep,@Home,Establish consistent sleep schedule,,,High,Next Action,Low,Ongoing,,"Critical for performance"
Get 10K steps daily,Personal,Health - Exercise,@Anywhere,Set up step tracking and daily goal,,,Medium,Recurring - Daily,Low,1 hour,,
Build strength,Personal,Health - Fitness,@Gym,Research strength training program,,,Medium,Project,Medium,3x week,,
Build endurance,Personal,Health - Fitness,@Gym,Start cardio routine,,,Medium,Project,Medium,3x week,,
Build flexibility,Personal,Health - Fitness,@Home,Start stretching/yoga routine,,,Low,Someday/Maybe,Low,15 min,,
Improve communication skills,Personal,Skills - Communication,@Anywhere,Practice sharing more with people,,,Medium,Project,Medium,Ongoing,,
Learn negotiation skills,Personal,Skills - Communication,@Reading,Find negotiation resources/training,,,Medium,Someday/Maybe,Medium,5 hours,,
Focus on personal branding,Personal,Personal Branding,@Computer,Define personal brand strategy,,,Medium,Project,High,3 hours,,
Organize unread books,Personal,Books/Education,@Home,Create reading list from unread books,,,Low,Next Action,Low,1 hour,,"6-8 books/year pace is good"
Read GTD book (yearly ritual),Personal,Books/Education,@Reading,Schedule annual GTD reread,,,Medium,Recurring - Yearly,Low,5 hours,,
Get formal education recommendations,Personal,Books/Education,@Computer,Research relevant formal education options,,,Low,Someday/Maybe,Medium,2 hours,,
Convert website into virtual resume,Personal,Career/Resume,@Computer,Design website-as-resume approach,,,Medium,Project,High,5 hours,,"PDF resume doesn't work anymore"
Find time for gaming,Personal,Performance/Balance,@Home,Schedule gaming time for soul purification,,,Medium,Recurring - Weekly,Low,2 hours,,"Makes me want to live"
Consolidate all insurance details,Personal,Financial Consolidation,@Computer,List all insurance policies (mine and family),,,High,Next Action,Medium,2 hours,,
Consolidate all savings accounts,Personal,Financial Consolidation,@Computer,Document all savings accounts,,,High,Next Action,Medium,1 hour,,
Consolidate all stock accounts,Personal,Financial Consolidation,@Computer,Document all stock/investment accounts,,,High,Next Action,Medium,1 hour,,
Consolidate all other savings details,Personal,Financial Consolidation,@Computer,Document any other savings/investments,,,High,Next Action,Medium,1 hour,,
Think about how to make MMD's life better,Personal,Family - Partner,@Thinking,Brainstorm ways to support and improve wife's life,,,High,Project,Medium,1 hour,,
Be more present with Ananya,Personal,Family - Children,@Home,Put away phone/laptop when with daughter,,,Critical,Ongoing,Low,Ongoing,,"Not be on devices constantly"
Meet parents twice a quarter (8x/year),Personal,Family - Parents,@Phone,Schedule parent visits and calls,,,High,Recurring - Quarterly,Low,Ongoing,,"Both sets of parents"
Start talking to parents on phone regularly,Personal,Family - Parents,@Phone,Set up regular parent call schedule,,,Medium,Next Action,Low,30 min weekly,,
Update parents on what's happening,Personal,Family - Parents,@Phone,Share regular life updates with parents,,,Medium,Ongoing,Low,Ongoing,,
Make diverse quality plans with parents,Personal,Family - Parents,@Thinking,Plan varied activities with parents,,,Medium,Project,Medium,1 hour,,
Ensure regular home loan payments,Personal,Family - Debt,@Computer,Verify home loan auto-payments are set up,,,High,Recurring - Monthly,Low,15 min,,"30-year loan"
Stay in touch with more friends,Personal,Relationships - Friends,@Phone,Make list of friends to reconnect with,,,Medium,Next Action,Low,30 min,,
Have regular phone conversations with friends,Personal,Relationships - Friends,@Phone,Schedule friend calls (better than text/memes),,,Medium,Recurring - Weekly,Low,30 min,,
Make list of important dates for family/friends,Personal,Events - Birthdays,@Computer,Create birthday/anniversary calendar,,,Medium,Next Action,Low,1 hour,,
Send appropriate gifts for occasions,Personal,Events - Birthdays,@Errands,Set up gift reminder system,,,Medium,Ongoing,Low,Varies,,
Plan vacation with wife and daughter,Personal,Events - Vacations,@Computer,Research travel options considering crowds/traffic,,,High,Project,Medium,3 hours,,"3 years married, 6 years together - no vacation yet"
Plan more dinners with wife,Personal,Events - Date Nights,@Anywhere,Research restaurants for date nights,,,Medium,Next Action,Low,30 min,,
Plan date nights to different places,Personal,Events - Date Nights,@Anywhere,Create date night ideas list,,,Medium,Project,Low,30 min,,
Look for music/stand-up concerts to attend,Personal,Events - Concerts,@Computer,Monitor concert listings and plan ahead,,,Low,Someday/Maybe,Low,Ongoing,,"Must be planned, not impromptu"
Organize stationery,Personal,Home Office,@Home,Sort through stationery and make inventory,,,Low,Next Action,Low,2 hours,,"Crazy amount of stationery"
Figure out pocket journal system,Personal,Home Office,@Thinking,Design productive pocket journal workflow,,,Medium,Project,Medium,1 hour,,"Making own pocket journals"
Get solid portable mic,Personal,Equipment,@Errands,Research mic options that attach to self,,,Medium,Next Action,Low,1 hour,,
Figure out Google Cloud yearly cost,Personal,Software,@Computer,Calculate Google Cloud subscription costs,,,Low,Next Action,Low,30 min,,
Schedule 2-3 hour leisure planning session,Personal,Leisure,@Thinking,Block time to think seriously about leisure,,,Medium,Next Action,Low,2-3 hours,,"Nothing planned - life too busy"
Plan finances with father,Personal,Financial Planning,@Phone,Schedule call about tax, investments, debt management,,,High,Next Action,Medium,2 hours,,
Set up expense tracking with detailed analysis,Personal,Financial Planning,@Computer,Research expense tracking apps with analysis features,,,High,Next Action,Low,1 hour,,"Not storing bills currently"
Think about pets,Personal,Pets,@Thinking,Consider pet options when ready,,,Low,Someday/Maybe,Low,Ongoing,,"Sensitive topic"
Confirm will/legal arrangements,Personal,Legal,@Thinking,Verify everything goes to family (parents/wife); Dad handles legal affairs,,,Low,Reference,Low,N/A,,
Research family projects/activities for this year,Personal,Family Projects,@Computer,Plan activities with multiple stakeholders,,,Medium,Project,Medium,2 hours,,"Multiple friend/family groups"
Get house in proper shape,Personal,Home - Remodeling,@Home,Create full renovation checklist,,,High,Project,High,3 hours,,"Bathrooms, kitchen, dishwasher, garden, drainage, flooring"
Get designer for home decor,Personal,Home - Decor,@Errands,Research interior designers,,,Medium,Next Action,Medium,1 hour,,"Need to think about lights"
Execute minimalism project,Personal,Home - Minimalism,@Home,Start purging process: kitchen utensils, clothes, furniture,,,Medium,Project,Medium,Ongoing,,"Moving towards minimal"
Schedule GP general checkup,Personal,Health - Doctors,@Phone,Book GP appointment,,,High,Next Action,Low,15 min,,
Schedule wisdom teeth removal,Personal,Health - Dentist,@Phone,Book dentist appointment for 4 wisdom teeth,,,High,Next Action,Low,15 min,,"Affecting other teeth"
Schedule quarterly checkup,Personal,Health - Checkup,@Phone,Book quarterly health checkup,,,High,Next Action,Low,15 min,,"Due now"
Eliminate/reduce outside food,Personal,Health - Diet,@Home,Start preparing more meals at home,,,High,Next Action,Low,Ongoing,,"Step 1"
Limit calories to under 2000,Personal,Health - Diet,@Anywhere,Track daily calorie intake,,,Medium,Project,Medium,Ongoing,,"Step 2"
Research personal development options,Personal,Personal Development,@Computer,Find classes, seminars, coaching options,,,Medium,Someday/Maybe,Medium,2 hours,,
Repair bike for commuting,Personal,Transportation,@Errands,Get bike repaired,,,Medium,Next Action,Low,2 hours,,"Currently limited to cabs"
Start skincare routine,Personal,Skincare,@Home,Research basic skincare routine,,,Low,Next Action,Low,30 min,,"Look good on calls"
Purge unnecessary clothes,Personal,Clothes,@Home,Go through wardrobe and donate/discard,,,Low,Next Action,Low,2 hours,,"Don't need new clothes"
Community involvement,Personal,To Revisit Later,@Thinking,,,Yes,Low,Someday/Maybe,Low,TBD,,"Need another deep thinking session"
Waiting for items review,Personal,To Revisit Later,@Thinking,,,Yes,Low,Someday/Maybe,Low,TBD,,
Add-ins to consider,Personal,To Revisit Later,@Thinking,,,Yes,Low,Someday/Maybe,Low,TBD,,
